rowNumber,queueId,questionNumber,questionType,questionText,subject,grade_level,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata,grade
11,ptg7-topicfg1kw8-tfdap1c7h-q11-fitb-1,Q11,fitb,A fraction equal to 75% is ____.,Maths,7,"Fractions, decimals and percentages",3/4 = 0.75 = 75%; finding percentages of amounts.,"Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts.",Understanding,easy,1,"FITB for Fractions, decimals and percentages: 3/4 = 0.75 = 75%; finding percentages of amounts., aligned to Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts..",[],"75% means 75 out of 100, which simplifies to 3/4.","{""placementTestTopicId"":""fractions-g7"",""questionNumber"":""Q11"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":7,""topic"":""Fractions, decimals and percentages"",""subtopic"":""3/4 = 0.75 = 75%; finding percentages of amounts."",""generationTopic"":""Fractions, decimals and percentages"",""generationSubtopic"":""3/4 = 0.75 = 75%; finding percentages of amounts."",""learning_objective"":""Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts."",""focus"":""Converting a percentage to an equivalent fraction"",""payload"":{""answer"":""3/4"",""acceptableAnswers"":[""3/4"",""three quarters""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""fractions-g7-fitb""}}",7
12,ptg7-topicfg1kw8-tfdap1c7h-q12-fitb-2,Q12,fitb,"A jacket costs $40, and 75% of the price is ____ dollars.",Maths,7,"Fractions, decimals and percentages",3/4 = 0.75 = 75%; finding percentages of amounts.,"Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts.",Applying,medium,3,"FITB for Fractions, decimals and percentages: 3/4 = 0.75 = 75%; finding percentages of amounts., aligned to Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts..",[],"Since 75% is the same as 3/4, find 3/4 of 40: 40 ÷ 4 = 10, and 10 × 3 = 30.","{""placementTestTopicId"":""fractions-g7"",""questionNumber"":""Q12"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":7,""topic"":""Fractions, decimals and percentages"",""subtopic"":""3/4 = 0.75 = 75%; finding percentages of amounts."",""generationTopic"":""Fractions, decimals and percentages"",""generationSubtopic"":""3/4 = 0.75 = 75%; finding percentages of amounts."",""learning_objective"":""Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts."",""focus"":""Finding 75% of an amount"",""payload"":{""answer"":""30"",""acceptableAnswers"":[""30"",""30.0""],""caseSensitive"":false,""hint"":""Think of 75% as 3/4.""},""planner"":{""packId"":""fractions-g7-fitb""}}",7
13,ptg7-topicfg1kw8-tfdap1c7h-q13-drag_drop-1,Q13,drag_drop,Sort each card into the matching value group. Each group shows equivalent forms or the matching percentage of an amount.,Maths,7,"Fractions, decimals and percentages",3/4 = 0.75 = 75%; finding percentages of amounts.,"Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts.",Analyzing,hard,4,"DRAG_DROP for Fractions, decimals and percentages: 3/4 = 0.75 = 75%; finding percentages of amounts., aligned to Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts..",[],"Three quarters, 0.75, and 75% are equivalent. Also, 75% of 20 is 15, 50% of 20 is 10, and 25% of 20 is 5. Match each card to the group with the same value.","{""placementTestTopicId"":""fractions-g7"",""questionNumber"":""Q13"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":7,""topic"":""Fractions, decimals and percentages"",""subtopic"":""3/4 = 0.75 = 75%; finding percentages of amounts."",""generationTopic"":""Fractions, decimals and percentages"",""generationSubtopic"":""3/4 = 0.75 = 75%; finding percentages of amounts."",""learning_objective"":""Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts."",""focus"":""Connecting equivalent fraction-decimal-percentage forms with percentage-of-amount results"",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""3/4""},{""id"":""item_2"",""label"":""0.75""},{""id"":""item_3"",""label"":""15""},{""id"":""item_4"",""label"":""10""},{""id"":""item_5"",""label"":""5""},{""id"":""item_6"",""label"":""25% of 20""}],""targets"":[{""id"":""target_1"",""label"":""75% of 20""},{""id"":""target_2"",""label"":""50% of 20""},{""id"":""target_3"",""label"":""25% of 20""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_1""},{""itemId"":""item_3"",""targetId"":""target_1""},{""itemId"":""item_4"",""targetId"":""target_2""},{""itemId"":""item_5"",""targetId"":""target_3""},{""itemId"":""item_6"",""targetId"":""target_3""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each card to the group with the same value.""}},""planner"":{""packId"":""fractions-g7-drag_drop""}}",7
14,ptg6-topicfg1kw8-tfdap1c7h-q14-mcq-1,Q14,mcq,What is the value of \(\frac{2}{3} \times \frac{3}{5}\)?,Maths,6,"Fractions, decimals and percentages",3/4 = 0.75 = 75%; finding percentages of amounts.,Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately.,Applying,easy,2,"MCQ for Fractions, decimals and percentages: Fraction x fraction; fraction divided by fraction., aligned to Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately..","[{""text"":""\\(\\frac{2}{5}\\)"",""correct"":true},{""text"":""\\(\\frac{6}{15}\\)"",""correct"":false},{""text"":""\\(\\frac{5}{6}\\)"",""correct"":false},{""text"":""1"",""correct"":false}]","To multiply fractions, multiply the numerators and multiply the denominators: \(2 \times 3 = 6\) and \(3 \times 5 = 15\), so \(\frac{2}{3} \times \frac{3}{5} = \frac{6}{15} = \frac{2}{5}\). A common mistake is to multiply correctly but forget to simplify, or to add the fractions instead of multiplying.","{""placementTestTopicId"":""fractions-g6"",""questionNumber"":""Q14"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":6,""topic"":""Fractions, decimals and percentages"",""subtopic"":""3/4 = 0.75 = 75%; finding percentages of amounts."",""generationTopic"":""Fractions, decimals and percentages"",""generationSubtopic"":""Fraction x fraction; fraction divided by fraction."",""learning_objective"":""Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately."",""focus"":""Multiply a fraction by a fraction and simplify the answer"",""planner"":{""packId"":""fractions-g6-mcq""}}",7
15,ptg6-topicfg1kw8-tfdap1c7h-q15-mcq-2,Q15,mcq,Which expression has the same value as \(\frac{3}{4} \div \frac{1}{2}\)?,Maths,6,"Fractions, decimals and percentages",3/4 = 0.75 = 75%; finding percentages of amounts.,Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately.,Understanding,medium,3,"MCQ for Fractions, decimals and percentages: Fraction x fraction; fraction divided by fraction., aligned to Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately..","[{""text"":""\\(\\frac{3}{4} \\times \\frac{2}{1}\\)"",""correct"":true},{""text"":""\\(\\frac{3}{4} \\times \\frac{1}{2}\\)"",""correct"":false},{""text"":""\\(\\frac{1}{2} \\div \\frac{3}{4}\\)"",""correct"":false},{""text"":""\\(\\frac{3+1}{4+2}\\)"",""correct"":false}]",Dividing by a fraction means multiplying by its reciprocal. So \(\frac{3}{4} \div \frac{1}{2} = \frac{3}{4} \times \frac{2}{1}\). This equals \(\frac{6}{4} = \frac{3}{2}\). A common mistake is to multiply by the same fraction instead of its reciprocal.,"{""placementTestTopicId"":""fractions-g6"",""questionNumber"":""Q15"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":6,""topic"":""Fractions, decimals and percentages"",""subtopic"":""3/4 = 0.75 = 75%; finding percentages of amounts."",""generationTopic"":""Fractions, decimals and percentages"",""generationSubtopic"":""Fraction x fraction; fraction divided by fraction."",""learning_objective"":""Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately."",""focus"":""Divide a fraction by a fraction by using the reciprocal"",""planner"":{""packId"":""fractions-g6-mcq""}}",7
16,ptg7-topicwpg1srp-tdap1nl8-q16-mcq-1,Q16,mcq,A jacket costs $40 and is on sale for 25% off. What is the sale price?,Maths,7,Discounts and proportion,"Examples include profit and loss, comparing prices, and better deals.",Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning.,Applying,easy,1,"MCQ for Discounts and proportion: Examples include profit and loss, comparing prices, and better deals., aligned to Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning..","[{""text"":""$30"",""correct"":true},{""text"":""$10"",""correct"":false},{""text"":""$25"",""correct"":false},{""text"":""$35"",""correct"":false}]","25% of $40 is $10, so the discount is $10. Subtracting gives $40 - $10 = $30. A common mistake is to choose $10, which is only the discount amount, not the sale price.","{""placementTestTopicId"":""word_problems-g7"",""questionNumber"":""Q16"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":7,""topic"":""Discounts and proportion"",""subtopic"":""Examples include profit and loss, comparing prices, and better deals."",""generationTopic"":""Discounts and proportion"",""generationSubtopic"":""Examples include profit and loss, comparing prices, and better deals."",""learning_objective"":""Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning."",""focus"":""Calculating a sale price using a percent discount"",""planner"":{""packId"":""word_problems-g7-mcq""}}",7
17,ptg7-topicwpg1srp-tdap1nl8-q17-mcq-2,Q17,mcq,Store A sells 3 notebooks for $6. Store B sells 5 notebooks for $9. Which store has the better deal?,Maths,7,Discounts and proportion,"Examples include profit and loss, comparing prices, and better deals.",Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning.,Applying,easy,2,"MCQ for Discounts and proportion: Examples include profit and loss, comparing prices, and better deals., aligned to Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning..","[{""text"":""Store A"",""correct"":false},{""text"":""Store B"",""correct"":true},{""text"":""They cost the same per notebook"",""correct"":false},{""text"":""There is not enough information"",""correct"":false}]","Find the cost per notebook. Store A: $6 ÷ 3 = $2 each. Store B: $9 ÷ 5 = $1.80 each. Since $1.80 is less than $2, Store B is the better deal. A common mistake is to pick the smaller total price instead of comparing price per item.","{""placementTestTopicId"":""word_problems-g7"",""questionNumber"":""Q17"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":7,""topic"":""Discounts and proportion"",""subtopic"":""Examples include profit and loss, comparing prices, and better deals."",""generationTopic"":""Discounts and proportion"",""generationSubtopic"":""Examples include profit and loss, comparing prices, and better deals."",""learning_objective"":""Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning."",""focus"":""Comparing unit prices to find the better deal"",""planner"":{""packId"":""word_problems-g7-mcq""}}",7
18,ptg7-topicwpg1srp-tdap1nl8-q18-fitb-1,Q18,fitb,A jacket costs $40 and is on sale for 25% off. The sale price is ____ dollars.,Maths,7,Discounts and proportion,"Examples include profit and loss, comparing prices, and better deals.",Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning.,Applying,medium,3,"FITB for Discounts and proportion: Examples include profit and loss, comparing prices, and better deals., aligned to Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning..",[],25% of $40 is $10. Subtract the discount from the original price: $40 - $10 = $30.,"{""placementTestTopicId"":""word_problems-g7"",""questionNumber"":""Q18"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":7,""topic"":""Discounts and proportion"",""subtopic"":""Examples include profit and loss, comparing prices, and better deals."",""generationTopic"":""Discounts and proportion"",""generationSubtopic"":""Examples include profit and loss, comparing prices, and better deals."",""learning_objective"":""Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning."",""focus"":""solving a discount word problem using percentage"",""payload"":{""answer"":""30"",""acceptableAnswers"":[""30"",""30.0""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""word_problems-g7-fitb""}}",7
19,ptg7-topicwpg1srp-tdap1nl8-q19-drag_drop-1,Q19,drag_drop,Sort each deal into the correct final price category. Original price: $40.,Maths,7,Discounts and proportion,"Examples include profit and loss, comparing prices, and better deals.",Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning.,Applying,medium,3,"DRAG_DROP for Discounts and proportion: Examples include profit and loss, comparing prices, and better deals., aligned to Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning..",[],"10% off $40 is $36. 25% off $40 is $30. Half price is $20. Buy 1 get 1 free means 2 items for the price of 1, so each item effectively costs half of $40, which is $20.","{""placementTestTopicId"":""word_problems-g7"",""questionNumber"":""Q19"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":7,""topic"":""Discounts and proportion"",""subtopic"":""Examples include profit and loss, comparing prices, and better deals."",""generationTopic"":""Discounts and proportion"",""generationSubtopic"":""Examples include profit and loss, comparing prices, and better deals."",""learning_objective"":""Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning."",""focus"":""Calculating final prices after discounts and matching equivalent results"",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""10% off""},{""id"":""item_2"",""label"":""25% off""},{""id"":""item_3"",""label"":""50% off""},{""id"":""item_4"",""label"":""Buy 1 get 1 free""}],""targets"":[{""id"":""target_1"",""label"":""$36""},{""id"":""target_2"",""label"":""$30""},{""id"":""target_3"",""label"":""$20""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_3""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each deal to its final price.""}},""planner"":{""packId"":""word_problems-g7-drag_drop""}}",7
20,ptg7-topicwpg1srp-tdap1nl8-q20-drag_drop-2,Q20,drag_drop,A snack pack has 8 bars for $6. Drag each offer to the correct category by unit price compared with the snack pack.,Maths,7,Discounts and proportion,"Examples include profit and loss, comparing prices, and better deals.",Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning.,Analyzing,hard,4,"DRAG_DROP for Discounts and proportion: Examples include profit and loss, comparing prices, and better deals., aligned to Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning..",[],"The snack pack costs $6 for 8 bars, so the unit price is $0.75 per bar. 4 for $3 is also $0.75 per bar, so it is the same. 6 for $4.20 is $0.70 per bar, so it is better. 10 for $8 is $0.80 per bar, so it is worse. 12 for $9.60 is $0.80 per bar, so it is also worse.","{""placementTestTopicId"":""word_problems-g7"",""questionNumber"":""Q20"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":7,""topic"":""Discounts and proportion"",""subtopic"":""Examples include profit and loss, comparing prices, and better deals."",""generationTopic"":""Discounts and proportion"",""generationSubtopic"":""Examples include profit and loss, comparing prices, and better deals."",""learning_objective"":""Students can solve discount word problems. Students can solve proportion word problems. Students can compare prices and deals using percentage or proportional reasoning."",""focus"":""Comparing deals using unit rates and proportional reasoning"",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""4 for $3.00""},{""id"":""item_2"",""label"":""6 for $4.20""},{""id"":""item_3"",""label"":""10 for $8.00""},{""id"":""item_4"",""label"":""12 for $9.60""}],""targets"":[{""id"":""target_1"",""label"":""Better deal""},{""id"":""target_2"",""label"":""Same deal""},{""id"":""target_3"",""label"":""Worse deal""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_2""},{""itemId"":""item_2"",""targetId"":""target_1""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_3""}],""labels"":{""start"":null,""end"":null,""instruction"":""Sort each offer by comparing unit price.""}},""planner"":{""packId"":""word_problems-g7-drag_drop""}}",7
