rowNumber,queueId,questionNumber,questionType,questionText,subject,grade_level,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata,grade
11,ptg6-topicfg1kw8-tmadfyn1e-q11-fitb-1,Q11,fitb,"A recipe uses 2/3 cup of milk, and one-half of that amount is needed. The amount of milk needed is ____ cup.",Maths,6,Multiplying and dividing fractions,Fraction x fraction; fraction divided by fraction.,Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately.,Applying,easy,2,"FITB for Multiplying and dividing fractions: Fraction x fraction; fraction divided by fraction., aligned to Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately..",[],One-half of 2/3 means 1/2 × 2/3 = 2/6 = 1/3. So the amount of milk needed is 1/3 cup.,"{""placementTestTopicId"":""fractions-g6"",""questionNumber"":""Q11"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":6,""topic"":""Multiplying and dividing fractions"",""subtopic"":""Fraction x fraction; fraction divided by fraction."",""generationTopic"":""Multiplying and dividing fractions"",""generationSubtopic"":""Fraction x fraction; fraction divided by fraction."",""learning_objective"":""Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately."",""focus"":""multiply a fraction by a fraction"",""payload"":{""answer"":""1/3"",""acceptableAnswers"":[""1/3""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""fractions-g6-fitb""}}",6
12,ptg6-topicfg1kw8-tmadfyn1e-q12-fitb-2,Q12,fitb,"A piece of ribbon is 3/4 metre long. If each part is 1/8 metre, the ribbon can be cut into ____ equal parts.",Maths,6,Multiplying and dividing fractions,Fraction x fraction; fraction divided by fraction.,Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately.,Applying,medium,3,"FITB for Multiplying and dividing fractions: Fraction x fraction; fraction divided by fraction., aligned to Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately..",[],"To find how many 1/8 metre parts fit into 3/4 metre, divide 3/4 by 1/8. This is 3/4 × 8/1 = 24/4 = 6. So the ribbon can be cut into 6 equal parts.","{""placementTestTopicId"":""fractions-g6"",""questionNumber"":""Q12"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":6,""topic"":""Multiplying and dividing fractions"",""subtopic"":""Fraction x fraction; fraction divided by fraction."",""generationTopic"":""Multiplying and dividing fractions"",""generationSubtopic"":""Fraction x fraction; fraction divided by fraction."",""learning_objective"":""Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately."",""focus"":""divide a fraction by a fraction"",""payload"":{""answer"":""6"",""acceptableAnswers"":[""6""],""caseSensitive"":false,""hint"":""Divide by a fraction by multiplying by its reciprocal.""},""planner"":{""packId"":""fractions-g6-fitb""}}",6
13,ptg6-topicfg1kw8-tmadfyn1e-q13-drag_drop-1,Q13,drag_drop,Sort each expression by whether it uses fraction multiplication or fraction division.,Maths,6,Multiplying and dividing fractions,Fraction x fraction; fraction divided by fraction.,Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately.,Analyzing,hard,4,"DRAG_DROP for Multiplying and dividing fractions: Fraction x fraction; fraction divided by fraction., aligned to Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately..",[],"Expressions with × go in the Fraction multiplication group. Expressions with ÷ go in the Fraction division group. Here, 2/3 × 3/5, 7/8 × 4/7, and 5/6 × 1/2 are multiplication expressions. The other three are division expressions.","{""placementTestTopicId"":""fractions-g6"",""questionNumber"":""Q13"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":6,""topic"":""Multiplying and dividing fractions"",""subtopic"":""Fraction x fraction; fraction divided by fraction."",""generationTopic"":""Multiplying and dividing fractions"",""generationSubtopic"":""Fraction x fraction; fraction divided by fraction."",""learning_objective"":""Students can multiply a fraction by a fraction. Students can divide a fraction by a fraction. Students can solve fraction operation problems accurately."",""focus"":""Distinguishing between fraction multiplication and fraction division in symbolic expressions"",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""2/3 × 3/5""},{""id"":""item_2"",""label"":""3/4 ÷ 1/2""},{""id"":""item_3"",""label"":""7/8 × 4/7""},{""id"":""item_4"",""label"":""5/6 ÷ 5/12""},{""id"":""item_5"",""label"":""5/6 × 1/2""},{""id"":""item_6"",""label"":""9/10 ÷ 3/5""}],""targets"":[{""id"":""target_1"",""label"":""Fraction multiplication""},{""id"":""target_2"",""label"":""Fraction division""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_1""},{""itemId"":""item_4"",""targetId"":""target_2""},{""itemId"":""item_5"",""targetId"":""target_1""},{""itemId"":""item_6"",""targetId"":""target_2""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each expression into the correct group.""}},""planner"":{""packId"":""fractions-g6-drag_drop""}}",6
14,ptg5-topicfg1kw8-taasf1d8q-q14-mcq-1,Q14,mcq,What is 1/2 + 1/4?,Maths,5,Multiplying and dividing fractions,Fraction x fraction; fraction divided by fraction.,Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2.,Applying,easy,2,"MCQ for Adding and subtracting fractions: Fractions with different denominators; mixed numbers like 1 1/2., aligned to Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2..","[{""text"":""3/4"",""correct"":true},{""text"":""2/6"",""correct"":false},{""text"":""1/6"",""correct"":false},{""text"":""2/4"",""correct"":false}]","The correct answer is 3/4 because 1/2 = 2/4, and 2/4 + 1/4 = 3/4. A common mistake is to add the denominators and get 2/6 or 1/6, but denominators must be made the same first.","{""placementTestTopicId"":""fractions-g5"",""questionNumber"":""Q14"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Multiplying and dividing fractions"",""subtopic"":""Fraction x fraction; fraction divided by fraction."",""generationTopic"":""Adding and subtracting fractions"",""generationSubtopic"":""Fractions with different denominators; mixed numbers like 1 1/2."",""learning_objective"":""Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2."",""focus"":""Add fractions with different denominators using a common denominator"",""planner"":{""packId"":""fractions-g5-mcq""}}",6
15,ptg5-topicfg1kw8-taasf1d8q-q15-mcq-2,Q15,mcq,Which expression has the value 1 1/6?,Maths,5,Multiplying and dividing fractions,Fraction x fraction; fraction divided by fraction.,Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2.,Analyzing,medium,3,"MCQ for Adding and subtracting fractions: Fractions with different denominators; mixed numbers like 1 1/2., aligned to Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2..","[{""text"":""2/3 + 1/2"",""correct"":true},{""text"":""3/4 + 1/3"",""correct"":false},{""text"":""5/6 + 1/4"",""correct"":false},{""text"":""1/2 + 1/3"",""correct"":false}]","The correct answer is 2/3 + 1/2 because 2/3 = 4/6 and 1/2 = 3/6, so the sum is 7/6, which is 1 1/6. The other options give different totals: 3/4 + 1/3 = 13/12, 5/6 + 1/4 = 13/12, and 1/2 + 1/3 = 5/6.","{""placementTestTopicId"":""fractions-g5"",""questionNumber"":""Q15"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Multiplying and dividing fractions"",""subtopic"":""Fraction x fraction; fraction divided by fraction."",""generationTopic"":""Adding and subtracting fractions"",""generationSubtopic"":""Fractions with different denominators; mixed numbers like 1 1/2."",""learning_objective"":""Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2."",""focus"":""Add fractions with different denominators to identify a mixed number"",""planner"":{""packId"":""fractions-g5-mcq""}}",6
16,ptg6-topicwpg1srp-trarp12ut-q16-mcq-1,Q16,mcq,Which deal is the better value for the same kind of juice?,Maths,6,Ratio and rate problems,"Examples include deciding which deal is better value, speed, and pricing.",Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value.,Applying,easy,1,"MCQ for Ratio and rate problems: Examples include deciding which deal is better value, speed, and pricing., aligned to Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value..","[{""text"":""2 litres for $6"",""correct"":false},{""text"":""3 litres for $8"",""correct"":true},{""text"":""Both deals are the same value"",""correct"":false},{""text"":""There is not enough information"",""correct"":false}]","The better value is the one with the lower cost per litre. 2 litres for $6 costs $3 per litre. 3 litres for $8 costs about $2.67 per litre, which is cheaper. The other choices are based on looking only at total price or total amount, not price per litre.","{""placementTestTopicId"":""word_problems-g6"",""questionNumber"":""Q16"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":6,""topic"":""Ratio and rate problems"",""subtopic"":""Examples include deciding which deal is better value, speed, and pricing."",""generationTopic"":""Ratio and rate problems"",""generationSubtopic"":""Examples include deciding which deal is better value, speed, and pricing."",""learning_objective"":""Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value."",""focus"":""compare unit prices to decide better value"",""planner"":{""packId"":""word_problems-g6-mcq""}}",6
17,ptg6-topicwpg1srp-trarp12ut-q17-mcq-2,Q17,mcq,A cyclist travels 24 km in 3 hours. What is the cyclist's speed?,Maths,6,Ratio and rate problems,"Examples include deciding which deal is better value, speed, and pricing.",Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value.,Applying,easy,1,"MCQ for Ratio and rate problems: Examples include deciding which deal is better value, speed, and pricing., aligned to Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value..","[{""text"":""6 km/h"",""correct"":false},{""text"":""8 km/h"",""correct"":true},{""text"":""21 km/h"",""correct"":false},{""text"":""27 km/h"",""correct"":false}]","Speed equals distance divided by time. 24 ÷ 3 = 8, so the cyclist's speed is 8 km/h. The other options come from common mistakes such as multiplying instead of dividing or choosing a nearby number.","{""placementTestTopicId"":""word_problems-g6"",""questionNumber"":""Q17"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":6,""topic"":""Ratio and rate problems"",""subtopic"":""Examples include deciding which deal is better value, speed, and pricing."",""generationTopic"":""Ratio and rate problems"",""generationSubtopic"":""Examples include deciding which deal is better value, speed, and pricing."",""learning_objective"":""Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value."",""focus"":""find speed using distance divided by time"",""planner"":{""packId"":""word_problems-g6-mcq""}}",6
18,ptg6-topicwpg1srp-trarp12ut-q18-fitb-1,Q18,fitb,A 6-pack of juice costs $9 and a 10-pack costs $14. The better value is the ____ pack.,Maths,6,Ratio and rate problems,"Examples include deciding which deal is better value, speed, and pricing.",Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value.,Applying,medium,3,"FITB for Ratio and rate problems: Examples include deciding which deal is better value, speed, and pricing., aligned to Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value..",[],"Find the cost per juice pack. The 6-pack costs $9, so each juice costs $1.50. The 10-pack costs $14, so each juice costs $1.40. Since $1.40 is cheaper than $1.50, the 10-pack is the better value.","{""placementTestTopicId"":""word_problems-g6"",""questionNumber"":""Q18"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":6,""topic"":""Ratio and rate problems"",""subtopic"":""Examples include deciding which deal is better value, speed, and pricing."",""generationTopic"":""Ratio and rate problems"",""generationSubtopic"":""Examples include deciding which deal is better value, speed, and pricing."",""learning_objective"":""Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value."",""focus"":""comparing unit prices to decide better value"",""payload"":{""answer"":""10"",""acceptableAnswers"":[""10"",""10-pack"",""10 pack""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""word_problems-g6-fitb""}}",6
19,ptg6-topicwpg1srp-trarp12ut-q19-drag_drop-1,Q19,drag_drop,Sort each deal into the correct unit price box.,Maths,6,Ratio and rate problems,"Examples include deciding which deal is better value, speed, and pricing.",Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value.,Applying,medium,3,"DRAG_DROP for Ratio and rate problems: Examples include deciding which deal is better value, speed, and pricing., aligned to Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value..",[],Work out the cost for 1 item in each deal. 4 for $12 means $3 each. 3 for $15 means $5 each. 5 for $10 means $2 each. 2 for $8 means $4 each.,"{""placementTestTopicId"":""word_problems-g6"",""questionNumber"":""Q19"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":6,""topic"":""Ratio and rate problems"",""subtopic"":""Examples include deciding which deal is better value, speed, and pricing."",""generationTopic"":""Ratio and rate problems"",""generationSubtopic"":""Examples include deciding which deal is better value, speed, and pricing."",""learning_objective"":""Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value."",""focus"":""compare pricing deals using unit price"",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""4 pencils for $12""},{""id"":""item_2"",""label"":""3 notebooks for $15""},{""id"":""item_3"",""label"":""5 erasers for $10""},{""id"":""item_4"",""label"":""2 rulers for $8""}],""targets"":[{""id"":""target_1"",""label"":""$2 each""},{""id"":""target_2"",""label"":""$3 each""},{""id"":""target_3"",""label"":""$4 each""},{""id"":""target_4"",""label"":""$5 each""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_2""},{""itemId"":""item_2"",""targetId"":""target_4""},{""itemId"":""item_3"",""targetId"":""target_1""},{""itemId"":""item_4"",""targetId"":""target_3""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each deal to its unit price.""}},""planner"":{""packId"":""word_problems-g6-drag_drop""}}",6
20,ptg6-topicwpg1srp-trarp12ut-q20-drag_drop-2,Q20,drag_drop,A bus travels at a constant speed on each trip. Put the trips in order from slowest speed to fastest speed.,Maths,6,Ratio and rate problems,"Examples include deciding which deal is better value, speed, and pricing.",Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value.,Analyzing,hard,4,"DRAG_DROP for Ratio and rate problems: Examples include deciding which deal is better value, speed, and pricing., aligned to Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value..",[],"Find the speed for each trip. 120 km in 3 h = 40 km/h. 150 km in 5 h = 30 km/h. 180 km in 4 h = 45 km/h. 90 km in 2 h = 45 km/h. From slowest to fastest: 30, 40, 45, 45.","{""placementTestTopicId"":""word_problems-g6"",""questionNumber"":""Q20"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":6,""topic"":""Ratio and rate problems"",""subtopic"":""Examples include deciding which deal is better value, speed, and pricing."",""generationTopic"":""Ratio and rate problems"",""generationSubtopic"":""Examples include deciding which deal is better value, speed, and pricing."",""learning_objective"":""Students can solve ratio word problems. Students can solve rate word problems involving speed or pricing. Students can compare deals to decide better value."",""focus"":""compare speeds by finding unit rates"",""payload"":{""mode"":""order"",""items"":[{""id"":""item_1"",""label"":""120 km in 3 h""},{""id"":""item_2"",""label"":""150 km in 5 h""},{""id"":""item_3"",""label"":""180 km in 4 h""},{""id"":""item_4"",""label"":""90 km in 2 h""}],""targets"":[{""id"":""target_1"",""label"":""1""},{""id"":""target_2"",""label"":""2""},{""id"":""target_3"",""label"":""3""},{""id"":""target_4"",""label"":""4""}],""answerKey"":[{""itemId"":""item_2"",""targetId"":""target_1""},{""itemId"":""item_1"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_4""}],""labels"":{""start"":""Slowest"",""end"":""Fastest"",""instruction"":""Drag the trips into order.""}},""planner"":{""packId"":""word_problems-g6-drag_drop""}}",6
